,L3,Reporter,Partner,Reporter_Total_Imports,Partner_Total_Imports,Reporter_Total_Exports,Partner_Total_Exports,Ind1,Ind2,Ind3,Ind4
28089,U02,C643,C012,17278393952.0,3276531095.0,2515330751.51,13007542.28,0.0,0.0364,0.0279,0.0046
28216,V05,C643,C012,0.0,0.0,354692128.53,5070.0,0.0,0.0,0.0,0.0
28343,U03,C643,C012,289919132.0,60138218.0,34068578.0,24922.0,0.0,0.0,0.0,0.0
28470,U05,C643,C012,0.0,174985040.0,708634076.1,4490528.0,0.0,0.062,0.2512,0.0
28597,V01,C643,C012,700421782.0,42839294.0,277219260.38,220092.0,0.0,0.0,0.0,0.0645
28724,V02,C643,C012,2733093330.0,381204212.0,548183703.37,3030021.92,0.0,0.0021,0.0031,0.008
28851,V03,C643,C012,4551026818.0,309586827.0,196458746.36,1133018.0,0.0,0.0005,0.0003,0.0
28978,V04,C643,C012,291495655.0,11717727.0,16145550.18,40949.75,0.0,0.0,0.0,0.0
29105,O06,C643,C012,1931867533.0,279211306.0,507434975.08,1888171.49,0.0,0.0,0.0,0.0019
29232,V06,C643,C012,1909846021.0,78486900.0,192607951.54,106540.0,0.0,0.0,0.0,0.0
29509,000,C643,C024,231664135280.0,14160119364.0,438721611962.33,25440606137.55,0.0,0.0002,0.0056,0.0001
29638,Z99,C643,C024,9074291104.0,310827.0,21576112887.53,19825873.56,0.0,0.0,0.0003,0.0
29765,A01,C643,C024,214626393.0,5146085.0,66443790.0,67592.0,0.0,0.0,0.0002,0.0
29892,A02,C643,C024,1588528463.0,518255821.0,1022198121.37,119346.6,0.0,0.0009,0.0018,0.0
30019,K01,C643,C024,2083147941.0,84547184.0,6953390406.0,60253205.0,0.0,0.0,0.0022,0.0
30146,B01,C643,C024,526512884.0,184099216.0,54548593.0,208333.0,0.0,0.0,0.0,0.0
30273,B09,C643,C024,824365095.0,20119720.0,110078028.0,136.0,0.0,0.0,0.0,0.0
30400,B02,C643,C024,1222225128.0,15463933.0,89879864.0,158.0,0.0,0.0,0.0,0.0
30527,J02,C643,C024,808638376.0,24505497.0,230169199.49,4624.0,0.0,0.0,0.0,0.0
30654,C09,C643,C024,780026580.0,8071898.0,67724115.07,208376.0,0.0,0.0,0.0,0.0
30781,J01,C643,C024,1415260963.0,29880563.0,1031559537.0,26316955.0,0.0,0.0,0.0,0.0
30908,C01,C643,C024,2070084740.0,95636231.0,835783884.87,106695.0,0.0,0.0,0.0,0.0
31035,C02,C643,C024,5538905930.0,22533768.0,427710824.0,6541616.0,0.0,0.0,0.0,0.0
31162,D01,C643,C024,1037375827.0,7865388.0,257560842.0,1131228.0,0.0,0.0,0.0,0.0
31289,D02,C643,C024,437764507.0,7001299.0,100160900.0,337.0,0.0,0.0,0.0,0.0
31416,E01,C643,C024,427535525.0,736513003.0,10446448979.05,64603.0,0.0,0.001,0.0136,0.0
31543,F01,C643,C024,1528326260.0,8186239.0,1265417240.0,172.0,0.0,0.0,0.0,0.0
31670,F03,C643,C024,14797639.0,14650.0,1052250.0,0.0,0.0,0.0,0.0,0.0
31797,F02,C643,C024,1202037591.0,353775525.0,4337610692.19,80231.0,0.0,0.0,0.0001,0.0
31924,F04,C643,C024,461186463.0,32169201.0,1463758984.0,57591.0,0.0,0.0,0.0,0.0
32051,G00,C643,C024,314363615.0,243005847.0,540138964.38,953782.0,0.0,0.0,0.0,0.0
32178,D03,C643,C024,1221280632.0,13220420.0,811861832.63,18678.0,0.0,0.0,0.0,0.0
32305,E03,C643,C024,1943182563.0,263640236.0,1352066674.58,114029.0,0.0,0.0029,0.0149,0.0
32432,H01,C643,C024,575826094.0,12775194.0,298944848.0,289150.0,0.0,0.0,0.0,0.0
32559,H02,C643,C024,2516711527.0,127764286.0,440938768.53,453559.0,0.0,0.0,0.0,0.0
32686,H03,C643,C024,836850354.0,20580529.0,514543818.0,44018.0,0.0,0.0,0.0,0.0
32813,L02,C643,C024,2974918600.0,46259171.0,7904275773.21,80379485.0,0.0,0.0,0.0,0.0
